role,mean_len_A,mean_len_B,score_A_on_axisB,score_B_on_axisA
generalist,1272.3,1247.675,-0.09138764596252558,-0.3851291783041445
genie,1137.7125,1166.4,-0.4880271353123634,-0.7863491922384713
geographer,1208.1875,1181.125,-0.47239319059636226,-0.6741399446233446
ghost,1141.2,1153.15,-0.4939670091842929,-0.7433838151683365
golem,1188.075,1183.7125,-0.7533917745116945,-0.9406673450298503
gossip,1162.5,1188.2875,-0.24146173391786044,-0.47808498825848655
grader,1209.5125,1206.275,-0.1493919414544565,-0.376991746577539
graduate,1269.675,1221.0375,-0.18977510934332162,-0.5182724820050596
grandparent,1104.75,1036.0375,-0.48887016622207774,-0.6851594078347449
guardian,1148.0625,1139.2625,-0.2947621719152866,-0.5337722539455536
guide,1210.375,1201.625,-0.11187634653091554,-0.3864057355750298
guru,1225.5,1211.5375,-0.27743063013860114,-0.5417276624503522
hacker,1239.5,1189.55,-0.4365588949218431,-0.6739320156722856
healer,1150.8625,1149.4125,-0.3091022332140205,-0.5932830311043199
hedonist,1150.25,1096.025,-0.8078507973408273,-0.9459738013179879
hermit,1129.425,1160.975,-0.6054009858158329,-0.8432654481365844
historian,1184.4125,1213.5625,-0.4185502808723729,-0.5863003066871642
hive,1190.425,1181.2875,-0.304806712787744,-0.539564003033344
hoarder,1130.35,1143.4875,-0.6431897260842564,-0.9527231303408324
homunculus,1175.3625,1232.0625,-0.8011585878678783,-1.0040541243212067
hybrid,1217.4625,1129.8875,-0.3219307009150782,-0.6092655063884955
idealist,1149.25,1176.625,-0.40214520604675763,-0.7145511404767027
immigrant,1148.6125,1154.75,-0.5114955599065152,-0.8075587998460645
improviser,1140.8,1149.1125,-0.20176830605099322,-0.438307651236559
infant,973.0125,974.225,-0.7034571880290204,-0.9228295877979076
influencer,1175.775,1177.8375,-0.32681338303156027,-0.5546995200149274
instructor,1221.5625,1239.6875,-0.13165662900583047,-0.3857419903221009
interpreter,1194.7125,1135.3875,-0.1585367625026923,-0.40972999714301717
interviewer,1182.725,1136.0,-0.1369370528786244,-0.4423231927357242
jester,1123.6875,1109.2,-0.4998037696133454,-0.6935180149042743
journalist,1211.125,1163.5,-0.18913513858035985,-0.4670487077064359
judge,1139.1125,1188.025,-0.18282565506043336,-0.4137161224257767
lawyer,1212.675,1223.725,-0.3221040535815368,-0.5954432017132485
leviathan,1108.125,1123.825,-1.0903759131472404,-1.0829443708283366
librarian,1195.6875,1183.4375,-0.23060987993745063,-0.5138020207603063
linguist,1228.975,1159.5625,-0.4921349084845129,-0.6578279368225393
loner,1125.9125,1087.725,-0.4566760472298603,-0.7923775754758811
luddite,1123.746835443038,1104.3625,-0.8810561843002402,-1.0639485200910062
marketer,1181.2375,1202.5375,-0.46516178485136517,-0.6848055196829115
martyr,1129.4875,1086.2375,-0.6003041223685572,-0.9047119820678394
mathematician,1328.5375,1333.8875,-0.2853629683601503,-0.5490646857046129
maverick,1195.925,1211.2375,-0.3339253811659663,-0.5801340669427608
mechanic,1195.4125,1177.325,-0.22859542137866679,-0.5589801648376498
mediator,1170.075,1207.025,-0.16783796093941908,-0.45358523139399465
mentor,1246.1898734177216,1229.7125,-0.12111016522494772,-0.4080880845038726
merchant,1096.5625,1131.525,-0.5103736757120398,-0.7712672396702045
minimalist,1064.9375,1106.75,-0.6316731106291171,-0.8802606516464642
moderator,1196.0,1145.5875,-0.12025500926580268,-0.41792016259637044
musician,1145.8125,1107.1125,-0.7021488544970311,-0.961575344170687
mycorrhizal,1145.075,1088.25,-0.7618127651502661,-1.0520291908509036
mystic,1162.6,1151.1375,-0.5235365586467302,-0.7591125397438538
narcissist,1032.225,951.6125,-0.839944873943,-1.0694096041014332
narrator,1217.6875,1195.1375,-0.3099692445238057,-0.6254547478109209
naturalist,1183.825,1177.8125,-0.4846377765689869,-0.7472715335283073
navigator,1205.8875,1259.5875,-0.17523919332011256,-0.40676748100631266
negotiator,1138.05,1164.9125,-0.27309169418845686,-0.5064450894046875
networker,1118.5,1168.15,-0.22342412022218147,-0.5143441295465161
newlywed,1163.65,1169.2,-0.3616892392801777,-0.6715762579719748
nomad,1185.2,1198.0625,-0.5811495890590588,-0.8020669146764867
novelist,1273.3125,1230.4125,-0.6612899670754937,-0.7911457007246204
nutritionist,1104.875,1130.525,-0.4310473002819676,-0.6540518497732508
observer,1176.6625,1162.0625,-0.11772578494277669,-0.4123424359642085
optimist,1110.625,1131.275,-0.3227930976884871,-0.575666577115276
oracle,1177.5,1188.7625,-0.24437633819301396,-0.5158286841608641
organizer,1232.9125,1178.5625,-0.18518934767853237,-0.4330901429934315
orphan,1184.3125,1143.9375,-0.44190775815943395,-0.7055406309708189
